tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;3217;1.000000;;;
0;young;1422;1.000000;;;
0;young;0209;1.000000;;;
0;young;1427;1.000000;;;
0;young;1820;1.000000;;;
0;young;1009;1.000000;;;
0;young;0205;1.000000;;;
0;young;3013;1.000000;;;
0;young;0404;1.000000;;;
0;young;1004;1.000000;;;
0;young;1461;1.000000;;;
0;young;2810;1.000000;;;
0;young;2007;1.000000;;;
0;young;1424;1.000000;;;
0;young;0218;1.000000;;;
0;young;0806;1.000000;;;
0;young;3202;1.000000;;;
0;young;3005;1.000000;;;
0;young;1208;1.000000;;;
0;young;1003;1.000000;;;
0;young;1013;1.000000;;;
0;young;3216;1.000000;;;
0;young;2004;1.000000;;;
0;young;3201;1.000000;;;
0;young;1864;1.000000;;;
0;young;0212;1.000000;;;
0;young;0416;1.000000;;;
0;young;3207;1.000000;;;
0;young;2010;1.000000;;;
0;young;0222;1.000000;;;
0;young;0605;1.000000;;;
0;young;1861;1.000000;;;
0;young;1602;1.000000;;;
0;young;3001;1.000000;;;
0;young;0805;1.000000;;;
0;young;1063;1.000000;;;
0;young;1411;1.000000;;;
0;young;2005;1.000000;;;
0;young;1404;1.000000;;;
0;young;0409;1.000000;;;
0;young;2613;1.000000;;;
0;young;0207;1.000000;;;
0;young;0226;1.000000;;;
0;young;2014;1.000000;;;
0;young;0405;1.000000;;;
0;young;0412;1.000000;;;
0;young;0217;1.000000;;;
0;young;2812;1.000000;;;
0;young;1214;1.000000;;;
0;young;1423;1.000000;;;
0;young;2802;1.000000;;;
0;young;1606;1.000000;;;
0;young;2809;1.000000;;;
0;young;2008;1.000000;;;
0;young;2216;1.000000;;;
0;young;1018;1.000000;;;
0;young;0411;1.000000;;;
0;young;1011;1.000000;;;
0;young;0413;1.000000;;;
0;young;3263;1.000000;;;
0;young;2608;1.000000;;;
0;young;3212;1.000000;;;
0;young;1437;1.000000;;;
0;young;1430;1.000000;;;
0;young;0406;1.000000;;;
0;young;2006;1.000000;;;
0;young;0619;1.000000;;;
0;young;1015;1.000000;;;
0;young;0812;1.000000;;;
0;young;3218;1.000000;;;
0;young;1436;1.000000;;;
0;young;0213;1.000000;;;
0;young;3014;1.000000;;;
0;young;0204;1.000000;;;
0;young;0613;1.000000;;;
0;young;2012;1.000000;;;
0;young;2210;1.000000;;;
0;young;1409;1.000000;;;
0;young;0807;1.000000;;;
0;young;2603;1.000000;;;
0;young;0417;1.000000;;;
0;young;2813;1.000000;;;
0;young;2811;1.000000;;;
0;young;1401;1.000000;;;
0;young;1410;1.000000;;;
0;young;2264;1.000000;;;
0;young;1021;1.000000;;;
0;young;2818;1.000000;;;
0;young;1821;1.000000;;;
0;young;2819;1.000000;;;
0;young;1801;1.000000;;;
0;young;2009;1.000000;;;
0;middle_aged;1465;0.999998;;;
0;middle_aged;1261;0.999998;;;
0;middle_aged;1061;0.999998;;;
0;middle_aged;0264;0.999998;;;
0;middle_aged;3064;0.999998;;;
0;middle_aged;2261;0.999998;;;
0;middle_aged;3262;0.999998;;;
0;middle_aged;0461;0.999998;;;
0;middle_aged;0663;0.999998;;;
0;middle_aged;3021;0.999998;;;
0;middle_aged;2469;0.999998;;;
0;middle_aged;2061;0.999998;;;
0;middle_aged;1206;0.999998;;;
0;middle_aged;2262;0.999998;;;
0;middle_aged;2464;0.999998;;;
0;middle_aged;1463;0.999998;;;
0;middle_aged;1434;0.999998;;;
0;middle_aged;2475;0.999998;;;
0;middle_aged;1210;0.999998;;;
0;middle_aged;2604;0.999998;;;
0;middle_aged;0463;0.999998;;;
0;middle_aged;2661;0.999998;;;
0;middle_aged;2215;0.999998;;;
0;middle_aged;1216;0.999998;;;
0;middle_aged;2466;0.999998;;;
0;middle_aged;1211;0.999998;;;
0;middle_aged;1863;0.999998;;;
0;middle_aged;2403;0.999998;;;
0;middle_aged;2461;0.999998;;;
0;middle_aged;2862;0.999998;;;
0;middle_aged;2478;0.999998;;;
0;middle_aged;2462;0.999998;;;
0;middle_aged;0208;0.999998;;;
0;middle_aged;0407;0.999998;;;
0;middle_aged;1020;0.999998;;;
0;middle_aged;1418;0.999998;;;
0;middle_aged;0219;0.999998;;;
0;middle_aged;3017;0.999998;;;
0;middle_aged;1816;0.999998;;;
0;middle_aged;1218;0.999998;;;
0;middle_aged;2415;0.999998;;;
0;middle_aged;2402;0.999998;;;
0;middle_aged;1213;0.999998;;;
0;middle_aged;1421;0.999998;;;
0;middle_aged;2401;0.999998;;;
0;middle_aged;2417;0.999998;;;
0;middle_aged;1425;0.999998;;;
0;middle_aged;0609;0.999998;;;
0;middle_aged;1412;0.999998;;;
0;middle_aged;2413;0.999998;;;
0;middle_aged;2472;0.999998;;;
0;middle_aged;2002;0.999998;;;
0;middle_aged;3003;0.999998;;;
0;middle_aged;1607;0.999998;;;
0;middle_aged;2473;0.999998;;;
0;middle_aged;3019;0.999998;;;
0;middle_aged;0862;0.999998;;;
0;middle_aged;2404;0.999998;;;
0;middle_aged;1811;0.999998;;;
0;middle_aged;1803;0.999998;;;
0;middle_aged;1661;0.999998;;;
0;middle_aged;2477;0.999998;;;
0;middle_aged;3010;0.999998;;;
0;middle_aged;1203;0.999998;;;
0;middle_aged;1207;0.999998;;;
0;middle_aged;2213;0.999998;;;
0;middle_aged;1609;0.999998;;;
0;middle_aged;2861;0.999998;;;
0;middle_aged;1462;0.999998;;;
0;middle_aged;2416;0.999998;;;
0;middle_aged;2465;0.999998;;;
0;middle_aged;0861;0.999998;;;
0;middle_aged;1804;0.999998;;;
0;middle_aged;2814;0.999998;;;
0;middle_aged;3214;0.999998;;;
0;middle_aged;1209;0.999998;;;
0;middle_aged;1016;0.999998;;;
0;middle_aged;2463;0.999998;;;
0;middle_aged;1008;0.999998;;;
0;middle_aged;1014;0.999998;;;
0;middle_aged;2205;0.999998;;;
0;middle_aged;1417;0.999998;;;
0;middle_aged;0223;0.999998;;;
0;middle_aged;0403;0.999998;;;
0;middle_aged;0265;0.999998;;;
0;middle_aged;1012;0.999998;;;
0;middle_aged;0614;0.999998;;;
0;middle_aged;2607;0.999998;;;
0;middle_aged;0464;0.999998;;;
0;middle_aged;1805;0.999998;;;
0;middle_aged;2214;0.999998;;;
0;middle_aged;1212;0.999998;;;
0;middle_aged;0601;0.999998;;;
0;middle_aged;1219;0.999998;;;
0;middle_aged;1263;0.999998;;;
0;middle_aged;1001;0.999998;;;
0;middle_aged;0620;0.999998;;;
0;middle_aged;1807;0.999998;;;
0;middle_aged;1419;0.999998;;;
0;middle_aged;2405;0.999998;;;
0;middle_aged;0611;0.999998;;;
0;middle_aged;2411;0.999998;;;
0;middle_aged;3261;0.999998;;;
0;middle_aged;1818;0.999998;;;
0;middle_aged;1205;0.999998;;;
0;middle_aged;1403;0.999998;;;
0;middle_aged;1408;0.999998;;;
0;middle_aged;1432;0.999998;;;
0;middle_aged;2410;0.999998;;;
0;middle_aged;2815;0.999998;;;
0;middle_aged;0211;0.999998;;;
0;middle_aged;0202;0.999998;;;
0;middle_aged;3061;0.999998;;;
0;middle_aged;0214;0.999998;;;
0;middle_aged;1201;0.999998;;;
0;middle_aged;0602;0.999998;;;
0;middle_aged;0262;0.999998;;;
0;middle_aged;0414;0.999998;;;
0;middle_aged;1002;0.999998;;;
0;middle_aged;0811;0.999998;;;
0;middle_aged;0607;0.999998;;;
0;middle_aged;1603;0.999998;;;
