tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;1209;0.765254;;;
0;young;1016;0.765254;;;
0;young;2463;0.765254;;;
0;young;1008;0.765254;;;
0;young;1014;0.765254;;;
0;young;2205;0.765254;;;
0;young;1417;0.765254;;;
0;young;0223;0.765254;;;
0;young;0403;0.765254;;;
0;young;0265;0.765254;;;
0;young;1012;0.765254;;;
0;young;0614;0.765254;;;
0;young;2607;0.765254;;;
0;young;0464;0.765254;;;
0;young;1805;0.765254;;;
0;young;2214;0.765254;;;
0;young;1212;0.765254;;;
0;young;0601;0.765254;;;
0;young;1219;0.765254;;;
0;young;1263;0.765254;;;
0;young;1001;0.765254;;;
0;young;0620;0.765254;;;
0;young;1807;0.765254;;;
0;young;1419;0.765254;;;
0;young;2405;0.765254;;;
0;young;0611;0.765254;;;
0;young;2411;0.765254;;;
0;young;3261;0.765254;;;
0;young;1818;0.765254;;;
0;young;1205;0.765254;;;
0;young;1403;0.765254;;;
0;young;1408;0.765254;;;
0;young;1432;0.765254;;;
0;young;2410;0.765254;;;
0;young;2815;0.765254;;;
0;young;0211;0.765254;;;
0;young;0202;0.765254;;;
0;young;3061;0.765254;;;
0;young;0214;0.765254;;;
0;young;1201;0.765254;;;
0;young;0602;0.765254;;;
0;young;0262;0.765254;;;
0;young;0414;0.765254;;;
0;young;1002;0.765254;;;
0;young;0811;0.765254;;;
0;young;0607;0.765254;;;
0;young;1603;0.765254;;;
0;young;1406;0.765254;;;
0;young;0415;0.765254;;;
0;young;2204;0.765254;;;
0;young;2212;0.765254;;;
0;young;1817;0.765254;;;
0;young;2202;0.765254;;;
0;young;2263;0.765254;;;
0;young;0462;0.765254;;;
0;young;2468;0.765254;;;
0;young;2611;0.765254;;;
0;young;2408;0.765254;;;
0;young;2807;0.765254;;;
0;young;2467;0.765254;;;
0;young;1601;0.765254;;;
0;young;1010;0.765254;;;
0;young;1402;0.765254;;;
0;young;1202;0.765254;;;
0;young;0201;0.765254;;;
0;young;0608;0.765254;;;
0;young;0225;0.765254;;;
0;young;0203;0.765254;;;
0;young;3009;0.765254;;;
0;young;3206;0.765254;;;
0;young;2602;0.765254;;;
0;young;1415;0.765254;;;
0;young;1420;0.765254;;;
0;young;3024;0.765254;;;
0;young;2805;0.765254;;;
0;young;0418;0.765254;;;
0;young;3002;0.765254;;;
0;young;0618;0.765254;;;
0;young;0804;0.765254;;;
0;young;0410;0.765254;;;
0;young;1405;0.765254;;;
0;young;2406;0.765254;;;
0;young;1428;0.765254;;;
0;young;1262;0.765254;;;
0;young;2605;0.765254;;;
0;young;3027;0.765254;;;
0;young;1215;0.765254;;;
0;young;2207;0.765254;;;
0;young;0261;0.765254;;;
0;young;0810;0.765254;;;
0;young;3007;0.765254;;;
0;young;3204;0.765254;;;
0;young;0220;0.765254;;;
0;young;0603;0.765254;;;
0;young;2609;0.765254;;;
0;young;1426;0.765254;;;
0;young;1005;0.765254;;;
0;young;1814;0.765254;;;
0;young;3215;0.765254;;;
0;young;1810;0.765254;;;
0;young;2610;0.765254;;;
0;young;3011;0.765254;;;
0;young;1007;0.765254;;;
0;young;2412;0.765254;;;
0;young;3208;0.765254;;;
0;young;1017;0.765254;;;
0;young;2201;0.765254;;;
0;young;1414;0.765254;;;
0;young;2407;0.765254;;;
0;young;1611;0.765254;;;
0;young;2470;0.765254;;;
0;young;2211;0.765254;;;
0;young;3012;0.765254;;;
0;young;3062;0.765254;;;
0;young;0402;0.765254;;;
0;young;1464;0.765254;;;
0;young;1438;0.765254;;;
0;young;3004;0.765254;;;
0;young;3030;0.765254;;;
0;young;1062;0.765254;;;
0;young;1416;0.765254;;;
0;young;1413;0.765254;;;
0;young;0809;0.765254;;;
0;young;0215;0.765254;;;
0;young;2601;0.765254;;;
0;young;2612;0.765254;;;
0;young;1813;0.765254;;;
0;young;1435;0.765254;;;
0;young;3015;0.765254;;;
0;young;0617;0.765254;;;
0;young;1815;0.765254;;;
0;young;2011;0.765254;;;
0;young;3031;0.765254;;;
0;young;2409;0.765254;;;
0;young;3006;0.765254;;;
0;young;0419;0.765254;;;
0;young;2817;0.765254;;;
0;young;3211;0.765254;;;
0;young;2206;0.765254;;;
0;young;1808;0.765254;;;
0;young;0801;0.765254;;;
0;young;0224;0.765254;;;
0;young;3028;0.765254;;;
0;young;2063;0.765254;;;
0;young;1019;0.765254;;;
0;young;1433;0.765254;;;
0;young;0604;0.765254;;;
0;young;1812;0.765254;;;
0;young;1006;0.765254;;;
0;young;3210;0.765254;;;
0;young;1604;0.765254;;;
0;young;0606;0.765254;;;
0;young;0408;0.765254;;;
0;young;2803;0.765254;;;
0;young;1802;0.765254;;;
0;young;2808;0.765254;;;
0;young;1217;0.765254;;;
0;young;1605;0.765254;;;
0;young;0206;0.765254;;;
0;young;1608;0.765254;;;
0;young;2208;0.765254;;;
0;young;1862;0.765254;;;
0;young;2209;0.765254;;;
0;young;0662;0.765254;;;
0;young;3209;0.765254;;;
0;young;2474;0.765254;;;
0;young;3063;0.765254;;;
0;young;0664;0.765254;;;
0;young;2062;0.765254;;;
0;young;1806;0.765254;;;
0;young;0216;0.765254;;;
0;young;0612;0.765254;;;
0;young;3020;0.765254;;;
0;young;1407;0.765254;;;
0;young;1819;0.765254;;;
0;young;2479;0.765254;;;
0;young;3205;0.765254;;;
0;young;0221;0.765254;;;
0;young;0615;0.765254;;;
0;young;2801;0.765254;;;
0;young;2476;0.765254;;;
0;young;3022;0.765254;;;
0;young;3026;0.765254;;;
0;young;2001;0.765254;;;
0;young;3023;0.765254;;;
0;young;2013;0.765254;;;
0;young;1204;0.765254;;;
0;young;0803;0.765254;;;
0;young;3203;0.765254;;;
0;young;2804;0.765254;;;
0;young;0616;0.765254;;;
0;young;2003;0.765254;;;
0;young;2816;0.765254;;;
0;young;2471;0.765254;;;
0;young;3016;0.765254;;;
0;young;3213;0.765254;;;
0;young;1809;0.765254;;;
0;young;0661;0.765254;;;
0;young;0610;0.765254;;;
0;young;2806;0.765254;;;
0;young;1610;0.765254;;;
0;young;1429;0.765254;;;
0;young;2414;0.765254;;;
0;young;0808;0.765254;;;
0;young;3029;0.765254;;;
0;young;3008;0.765254;;;
0;young;0802;0.765254;;;
0;young;0401;0.765254;;;
0;young;2203;0.765254;;;
0;young;3025;0.765254;;;
0;young;0210;0.765254;;;
0;young;2606;0.765254;;;
0;young;3018;0.765254;;;
0;young;3217;0.765254;;;
0;young;1422;0.765254;;;
0;young;0209;0.765254;;;
0;young;1427;0.765254;;;
0;young;1820;0.765254;;;
0;young;1009;0.765254;;;
0;young;0205;0.765254;;;
0;young;3013;0.765254;;;
0;young;0404;0.765254;;;
0;young;1004;0.765254;;;
0;young;1461;0.765254;;;
0;young;2810;0.765254;;;
0;young;2007;0.765254;;;
0;young;1424;0.765254;;;
0;young;0218;0.765254;;;
0;young;0806;0.765254;;;
0;young;3202;0.765254;;;
0;young;3005;0.765254;;;
0;young;1208;0.765254;;;
0;young;1003;0.765254;;;
0;young;1013;0.765254;;;
0;young;3216;0.765254;;;
0;young;2004;0.765254;;;
0;young;3201;0.765254;;;
0;young;1864;0.765254;;;
0;young;0212;0.765254;;;
0;young;0416;0.765254;;;
0;young;3207;0.765254;;;
0;young;2010;0.765254;;;
0;young;0222;0.765254;;;
0;young;0605;0.765254;;;
0;young;1861;0.765254;;;
0;young;1602;0.765254;;;
0;young;3001;0.765254;;;
0;young;0805;0.765254;;;
0;young;1063;0.765254;;;
0;young;1411;0.765254;;;
0;young;2005;0.765254;;;
0;young;1404;0.765254;;;
0;young;0409;0.765254;;;
0;young;2613;0.765254;;;
0;young;0207;0.765254;;;
0;young;0226;0.765254;;;
0;young;2014;0.765254;;;
0;young;0405;0.765254;;;
0;young;0412;0.765254;;;
0;young;0217;0.765254;;;
0;young;2812;0.765254;;;
0;young;1214;0.765254;;;
0;young;1423;0.765254;;;
0;young;2802;0.765254;;;
0;young;1606;0.765254;;;
0;young;2809;0.765254;;;
0;young;2008;0.765254;;;
0;young;2216;0.765254;;;
0;young;1018;0.765254;;;
0;young;0411;0.765254;;;
0;young;1011;0.765254;;;
0;young;0413;0.765254;;;
0;young;3263;0.765254;;;
0;young;2608;0.765254;;;
0;young;3212;0.765254;;;
0;young;1437;0.765254;;;
